Gene	sgRNA	D18_DMSO|beta	D18_DMSO|z	D18_DMSO|p-value	D18_DMSO|fdr	D18_DMSO|wald-p-value	D18_DMSO|wald-fdr	D18_CompB|beta	D18_CompB|z	D18_CompB|p-value	D18_CompB|fdr	D18_CompB|wald-p-value	D18_CompB|wald-fdr
AASDH	6	-0.26056	-1.861	0.20078	0.79808	0.06274	0.25607	-0.15498	-1.115	0.44262	0.91484	0.26485	0.51687
AASDHPPT	6	-0.030054	-0.2513	0.92562	0.98783	0.80158	0.89671	-0.18403	-1.5424	0.36026	0.88205	0.12298	0.36208
AASS	6	-0.060438	-0.49732	0.79548	0.97516	0.61897	0.78627	-0.095608	-0.79225	0.64896	0.96329	0.42821	0.66008
AATF	6	-0.17563	-0.91922	0.38613	0.85631	0.35798	0.58786	-0.16874	-0.88994	0.40178	0.9014	0.3735	0.61455
AATK	6	0.16879	1.6903	0.29158	0.81609	0.090966	0.30301	0.10963	1.1034	0.48903	0.9299	0.26984	0.52064
ABAT	6	0.063507	0.67566	0.66215	0.94246	0.49925	0.70073	0.030542	0.32682	0.80767	0.97374	0.74381	0.86842
ABCA1	6	0.10196	1.1996	0.50983	0.89829	0.23029	0.47247	0.13858	1.6424	0.39119	0.8961	0.1005	0.32981
ABCA10	6	0.17396	1.2637	0.27835	0.81145	0.20635	0.44724	0.2354	1.7254	0.15469	0.74529	0.084461	0.30535
ABCA12	6	-0.15433	-1.833	0.44782	0.88411	0.066807	0.26261	-0.034568	-0.41537	0.89943	0.9828	0.67787	0.84055
ABCA13	6	0.316	1.5293	0.056993	0.56465	0.12619	0.34853	0.18841	0.91579	0.25289	0.83328	0.35978	0.60228
ABCA2	6	0.078085	0.41188	0.60128	0.92226	0.68043	0.82759	0.0023062	0.012239	0.93415	0.98832	0.99024	0.99575
ABCA3	6	0.19916	1.5347	0.21944	0.81145	0.12485	0.34715	0.13255	1.0261	0.41205	0.90842	0.30486	0.5538
ABCA4	6	0.051475	0.51258	0.71129	0.95662	0.60825	0.77874	-0.060972	-0.60997	0.78832	0.97308	0.54188	0.74514
ABCA5	6	-0.13081	-0.92216	0.51914	0.89987	0.35644	0.58671	-0.084689	-0.6021	0.69008	0.97074	0.54711	0.74817
ABCA6	6	-0.13085	-1.1318	0.51896	0.89987	0.25771	0.49892	-0.022919	-0.20068	0.9509	0.99082	0.84095	0.91963
ABCA7	6	-0.050639	-0.39594	0.83591	0.9796	0.69215	0.83458	-0.18643	-1.4635	0.35373	0.8793	0.14333	0.3884
ABCA8	6	-0.26163	-2.5504	0.1989	0.7966	0.010759	0.13074	-0.12859	-1.2674	0.52904	0.94029	0.205	0.45652
ABCA9	6	-0.2673	-1.2105	0.18823	0.78721	0.2261	0.46755	-0.090377	-0.4166	0.66854	0.96712	0.67697	0.84046
ABCB1	6	0.15261	0.96949	0.34059	0.84499	0.3323	0.56743	0.11288	0.72193	0.47602	0.92671	0.47033	0.69279
ABCB10	6	-0.010449	-0.10624	0.98394	0.99682	0.91539	0.95927	0.0458	0.46866	0.74438	0.97308	0.63931	0.81509
ABCB11	6	-0.31582	-1.7515	0.12644	0.71289	0.079866	0.28467	-0.1103	-0.62037	0.59252	0.95312	0.53501	0.74034
ABCB4	6	0.095126	1.197	0.53493	0.90218	0.23129	0.47363	0.1243	1.5747	0.43673	0.91421	0.11534	0.35233
ABCB5	6	-0.15501	-0.93043	0.44604	0.88411	0.35215	0.58373	0.015897	0.09639	0.87319	0.97754	0.92321	0.96243
ABCB6	6	0.12237	1.5995	0.43641	0.88018	0.10972	0.32506	-0.035821	-0.46933	0.89441	0.98207	0.63883	0.81484
ABCB7	6	-0.49326	-2.551	0.026466	0.44385	0.010741	0.13064	-0.44618	-2.3332	0.041889	0.53279	0.019636	0.15768
ABCB8	6	0.18751	1.5001	0.24609	0.81145	0.13359	0.35984	0.18775	1.5095	0.25494	0.8358	0.13117	0.3728
ABCB9	6	-0.052689	-0.77428	0.82815	0.97894	0.43877	0.65643	-0.076035	-1.1212	0.72471	0.97308	0.26218	0.51458
ABCC1	6	0.14895	1.4172	0.35104	0.84902	0.15644	0.38896	-0.019852	-0.18972	0.96628	0.99371	0.84953	0.92381
ABCC10	6	0.040745	0.40903	0.75825	0.96667	0.68252	0.82873	0.0076137	0.076858	0.90974	0.98411	0.93874	0.97073
ABCC11	6	-0.0059587	-0.065131	0.96468	0.99493	0.94807	0.9748	-0.034642	-0.38067	0.89911	0.9828	0.70344	0.84356
ABCC12	6	0.13217	0.96866	0.40324	0.86392	0.33272	0.56765	0.20171	1.4875	0.2225	0.81546	0.13688	0.38025
ABCC2	6	0.059293	0.41865	0.68017	0.94691	0.67547	0.82422	-0.049079	-0.34799	0.83765	0.97374	0.72785	0.85844
ABCC3	6	0.20849	1.629	0.20046	0.79808	0.1033	0.32039	0.043623	0.34183	0.75355	0.97308	0.73248	0.86114
ABCC4	6	-0.036588	-0.26436	0.89614	0.98628	0.7915	0.89098	-0.013202	-0.095967	0.9953	0.9994	0.92355	0.96251
ABCC5	6	0.17075	1.2839	0.28633	0.81319	0.19917	0.43872	0.23629	1.7902	0.15332	0.74529	0.073423	0.28653
ABCC6	6	-0.10188	-0.83204	0.62683	0.92768	0.40539	0.62731	-0.011253	-0.092929	0.99621	0.99968	0.92596	0.96364
ABCC8	6	0.14817	1.7211	0.35327	0.85002	0.085227	0.29234	0.095521	1.1143	0.54041	0.94089	0.26515	0.51699
ABCC9	6	-0.16735	-1.3832	0.40972	0.86938	0.1666	0.40178	-0.070163	-0.58573	0.74953	0.97308	0.55806	0.75689
ABCD1	6	0.132	1.2352	0.40365	0.8642	0.21674	0.458	-0.087858	-0.82485	0.67794	0.96845	0.40946	0.64533
ABCD2	6	-0.16973	-1.7589	0.40324	0.86392	0.078594	0.28273	-0.19908	-2.0802	0.32371	0.86545	0.037509	0.21021
ABCD3	6	0.017907	0.065977	0.85462	0.98093	0.9474	0.97452	0.24133	0.90578	0.14515	0.73403	0.36505	0.60722
ABCD4	6	-0.22851	-1.6552	0.25918	0.81145	0.097892	0.31312	-0.17049	-1.2432	0.39731	0.89864	0.21381	0.46665
ABCE1	6	-0.5811	-2.8529	0.012594	0.33455	0.0043319	0.088111	-0.43472	-2.1594	0.04595	0.54521	0.03082	0.19386
ABCF1	6	-0.28787	-1.959	0.16085	0.76094	0.050112	0.22975	-0.33964	-2.3302	0.10459	0.68438	0.019798	0.15798
ABCF2	6	-0.17867	-1.6704	0.37718	0.85631	0.094846	0.3083	-0.098348	-0.92607	0.6366	0.96108	0.35441	0.59794
ABCF3	6	0.24917	1.5798	0.13005	0.71785	0.11414	0.33193	0.19673	1.2522	0.23354	0.82381	0.21048	0.46314
ABCG1	6	0.16202	1.2964	0.31084	0.8264	0.19485	0.43392	0.14192	1.1413	0.38143	0.89002	0.25377	0.50598
ABCG2	6	0.045901	0.32313	0.7347	0.96205	0.7466	0.8663	-0.010369	-0.073417	0.9916	0.99858	0.94147	0.97231
ABCG4	6	0.11172	1.4774	0.47424	0.88962	0.13956	0.36777	0.14311	1.9004	0.37782	0.88994	0.057381	0.25517
ABCG5	6	0.10187	1.286	0.51015	0.89829	0.19845	0.43801	0.10636	1.3514	0.50125	0.93513	0.17656	0.42557
ABCG8	6	0.040248	0.28095	0.76021	0.9672	0.77875	0.88409	-0.085368	-0.59934	0.68761	0.97008	0.54894	0.74968
ABHD1	6	-0.23692	-1.8299	0.24221	0.81145	0.06726	0.26355	-0.21282	-1.6597	0.29304	0.85461	0.096976	0.32466
ABHD10	6	-0.01265	-0.090817	0.99402	0.99908	0.92764	0.96502	-0.078102	-0.5639	0.71741	0.97308	0.57283	0.76665
ABHD11	6	-0.0549	-0.51051	0.81871	0.97749	0.60969	0.77977	-0.061915	-0.57936	0.78471	0.97308	0.56234	0.75982
ABHD12	6	-0.080626	-1.5304	0.71289	0.95683	0.12593	0.34823	0.030976	0.59094	0.80625	0.97374	0.55456	0.754
ABHD12B	6	-0.016283	-0.11795	0.98818	0.99728	0.90611	0.95517	0.050685	0.36969	0.72179	0.97308	0.71162	0.84802
ABHD13	6	-0.12201	-0.70501	0.54921	0.90592	0.4808	0.68776	0.077162	0.45193	0.61328	0.95699	0.65132	0.82352
ABHD14A	6	-0.0049332	-0.054716	0.95957	0.9947	0.95636	0.97911	-0.080475	-0.89733	0.70742	0.97308	0.36954	0.61087
ABHD14B	6	-0.044266	-0.69009	0.8642	0.98191	0.49014	0.69448	-0.012845	-0.20169	0.99681	0.99982	0.84016	0.91918
ABHD15	6	0.56683	2.8832	0.0018252	0.2381	0.0039362	0.082994	0.40546	2.0683	0.018115	0.40428	0.038614	0.21353
ABHD16A	6	-0.23264	-1.3759	0.25047	0.81145	0.16885	0.40398	-0.12967	-0.77695	0.52544	0.94029	0.43719	0.66632
ABHD16B	6	0.20551	2.3147	0.20675	0.80508	0.020631	0.1719	0.20834	2.3569	0.20735	0.80042	0.018429	0.15304
ABHD17A	6	-0.25369	-1.2218	0.21282	0.81106	0.22177	0.46318	-0.098915	-0.48452	0.63473	0.96076	0.62802	0.80675
ABHD17B	6	0.12685	0.80575	0.42167	0.87451	0.42039	0.6402	0.03059	0.19521	0.80762	0.97374	0.84523	0.92192
ABHD17C	6	0.24244	2.3721	0.13931	0.72905	0.017685	0.16055	0.11121	1.093	0.48319	0.92876	0.27441	0.5249
ABHD2	6	-0.047121	-0.20817	0.85079	0.98093	0.83509	0.91642	-0.082877	-0.36824	0.6977	0.97265	0.71269	0.84875
ABHD3	6	0.17502	1.5051	0.27584	0.81145	0.13229	0.35793	0.19359	1.677	0.24002	0.82476	0.093545	0.31897
ABHD4	6	-0.10547	-1.3439	0.61428	0.92503	0.17898	0.41603	-0.14625	-1.8719	0.46972	0.92437	0.061216	0.26316
ABHD5	6	-0.085268	-0.86271	0.69309	0.95163	0.3883	0.61331	0.025426	0.25975	0.83025	0.97374	0.79506	0.89311
ABHD6	6	-0.093803	-0.74453	0.65864	0.94107	0.45656	0.671	-0.17339	-1.3855	0.39001	0.8953	0.1659	0.41399
ABHD8	6	0.29071	2.451	0.079306	0.62205	0.014247	0.14758	0.24438	2.0729	0.1405	0.72751	0.03818	0.21233
ABI1	6	0.0098325	0.19831	0.89149	0.98557	0.84281	0.92084	0.019638	0.39853	0.85713	0.97687	0.69024	0.84055
ABI2	6	-0.19622	-1.6119	0.33101	0.84184	0.10698	0.3249	-0.068555	-0.56719	0.75624	0.97308	0.57058	0.76514
ABI3	6	-0.013307	-0.085827	0.99717	0.99968	0.9316	0.96672	-0.043582	-0.283	0.86096	0.97741	0.77718	0.88366
ABI3BP	6	0.24862	2.099	0.13096	0.72002	0.035818	0.2124	0.22869	1.9419	0.16683	0.7606	0.052144	0.24362
ABL1	6	-0.042289	-0.51298	0.87264	0.98266	0.60797	0.77848	0.080071	0.98115	0.60306	0.9543	0.32652	0.57319
ABL2	6	0.15109	1.5499	0.3447	0.84616	0.12115	0.34189	0.19653	2.0332	0.23409	0.82381	0.04203	0.22164
ABLIM1	6	-0.060538	-0.84288	0.79516	0.9751	0.3993	0.62277	0.047381	0.66515	0.73703	0.97308	0.50595	0.71925
ABLIM2	6	0.062047	0.41958	0.66936	0.94514	0.67479	0.82399	0.055486	0.37771	0.70198	0.97308	0.70565	0.84495
ABLIM3	6	0.15753	1.7755	0.32444	0.83582	0.075822	0.27745	0.1835	2.0808	0.26461	0.84241	0.037448	0.21021
ABO	6	0.29622	1.6844	0.073739	0.60935	0.092102	0.30463	0.351	2.0149	0.038239	0.51599	0.043917	0.22598
ABP1	6	0.1732	1.9761	0.28022	0.81145	0.048138	0.22624	0.033426	0.38571	0.79512	0.97308	0.69971	0.84055
ABR	6	0.11493	0.90037	0.46297	0.88588	0.36793	0.59605	0.093718	0.74049	0.54775	0.94334	0.459	0.68466
ABRA	6	-0.14468	-1.8566	0.47552	0.88985	0.063361	0.25743	-0.12694	-1.6408	0.53479	0.94053	0.10084	0.33
ABRACL	6	-0.088353	-0.74131	0.67999	0.94691	0.45851	0.67261	-0.16319	-1.3797	0.41793	0.90947	0.16768	0.41579
ABT1	6	-0.42146	-2.6078	0.049738	0.54473	0.0091127	0.12297	-0.52048	-3.2371	0.022587	0.43243	0.0012074	0.040521
ABTB1	6	0.18058	1.3189	0.26128	0.81145	0.18721	0.42564	0.23452	1.7319	0.15601	0.74629	0.083283	0.30272
ABTB2	6	0.27962	2.4514	0.091216	0.64734	0.014231	0.14758	0.35084	3.085	0.038239	0.51599	0.0020359	0.053625
ACAA1	6	0.28756	1.9458	0.082957	0.6295	0.051683	0.2331	0.25293	1.7213	0.12717	0.71043	0.08519	0.30646
ACAA2	6	-0.11232	-1.8172	0.58686	0.91852	0.069186	0.26668	-0.048393	-0.79089	0.84075	0.97459	0.42901	0.66046
ACACA	6	0.18926	2.3181	0.24184	0.81145	0.020444	0.1712	0.15577	1.9154	0.33817	0.87116	0.055447	0.25108
ACACB	6	0.2713	2.0283	0.10103	0.66657	0.042535	0.22624	0.30324	2.2774	0.071093	0.61224	0.022763	0.16937
ACAD10	6	-0.14211	-2.4171	0.48346	0.89291	0.015646	0.15294	-0.043933	-0.75379	0.85918	0.97687	0.45098	0.67862
ACAD11	6	-0.094638	-1.0541	0.65585	0.94033	0.29185	0.5321	-0.099551	-1.117	0.63217	0.96028	0.264	0.51597
ACAD8	6	0.0614	0.94754	0.67232	0.94555	0.34336	0.57639	0.099221	1.541	0.52676	0.94029	0.12331	0.36273
ACAD9	6	0.060121	0.63923	0.67712	0.94656	0.52267	0.71805	0.13829	1.4899	0.39233	0.89674	0.13624	0.37928
ACADL	6	-0.20278	-1.9718	0.31353	0.82917	0.048634	0.22727	-0.099243	-0.97681	0.63345	0.96076	0.32866	0.57529
ACADM	6	-0.28098	-3.002	0.17121	0.77286	0.0026821	0.068252	-0.3338	-3.5887	0.10929	0.69069	0.00033239	0.020122
ACADS	6	0.1942	2.1217	0.23012	0.81145	0.033864	0.20776	0.25084	2.7544	0.13014	0.71443	0.0058803	0.091265
ACADSB	6	-0.044629	-0.52949	0.86229	0.98191	0.59647	0.77155	-0.014739	-0.17599	0.9885	0.99761	0.8603	0.93035
ACADVL	6	0.09693	0.99728	0.52872	0.90183	0.31863	0.55527	0.13127	1.3616	0.41684	0.90947	0.17333	0.42164
ACAN	6	-0.15747	-1.5091	0.43897	0.88114	0.13127	0.35602	-0.1838	-1.7737	0.36094	0.88205	0.076109	0.29113
ACAP1	6	0.21345	1.9102	0.19128	0.79124	0.056104	0.24215	0.18586	1.6712	0.25927	0.83867	0.094677	0.32152
ACAP2	6	0.040579	0.23351	0.75907	0.96684	0.81537	0.90512	0.098345	0.57079	0.53055	0.94029	0.56814	0.76376
ACAP3	6	-0.043645	-0.51558	0.86676	0.98201	0.60615	0.77758	0.018262	0.21737	0.86297	0.97741	0.82792	0.91239
ACAT1	6	0.24299	2.0907	0.13858	0.7283	0.036554	0.21436	0.1932	1.6681	0.24079	0.82505	0.095298	0.32254
ACAT2	6	0.23458	1.8977	0.15264	0.7471	0.057735	0.24592	0.17387	1.4129	0.28798	0.85319	0.15768	0.40477
ACBD3	6	-0.079507	-0.78758	0.71736	0.95777	0.43094	0.65039	0.044629	0.44583	0.74889	0.97308	0.65572	0.82653
ACBD4	6	-0.1431	-1.8255	0.48045	0.89238	0.067932	0.26432	-0.10024	-1.2888	0.62934	0.95918	0.19745	0.44832
ACBD5	6	-0.09519	-1.0582	0.65371	0.93904	0.28997	0.53066	-0.18996	-2.1219	0.34561	0.87552	0.033842	0.20211
ACBD6	6	0.12907	0.82019	0.41469	0.87284	0.41211	0.63272	0.18259	1.1703	0.26671	0.84505	0.24188	0.49421
ACBD7	6	-0.1287	-0.80104	0.52681	0.90183	0.42311	0.64293	0.031728	0.20069	0.80246	0.97374	0.84094	0.91963
ACCS	6	0.065202	0.51163	0.65394	0.93906	0.60891	0.77918	0.19203	1.5226	0.24454	0.82995	0.12787	0.36891
ACCSL	6	-0.10475	-0.7119	0.61684	0.92574	0.47653	0.68506	-0.098822	-0.67568	0.63514	0.96076	0.49924	0.71425
ACD	6	-0.12261	-1.1019	0.54748	0.90583	0.27051	0.51225	-0.16386	-1.4816	0.41615	0.90947	0.13846	0.38235
ACE	6	0.083946	0.63983	0.57709	0.91347	0.52229	0.71798	0.0042969	0.032919	0.92603	0.98725	0.97374	0.9873
ACE2	6	0.053883	0.59418	0.70194	0.95404	0.55239	0.73995	0.17049	1.9013	0.29624	0.85564	0.057262	0.2549
ACER1	6	0.040724	0.49864	0.75834	0.96667	0.61803	0.78576	0.019875	0.24457	0.85608	0.97687	0.80679	0.90006
ACER2	6	0.074885	0.71815	0.61415	0.92496	0.47267	0.68207	-0.071865	-0.69094	0.74241	0.97308	0.4896	0.7072
ACER3	6	-0.25722	-2.399	0.20625	0.80456	0.01644	0.15682	-0.080468	-0.75847	0.70746	0.97308	0.44817	0.67604
ACHE	6	0.38993	2.298	0.020853	0.41055	0.021562	0.17481	0.38812	2.2965	0.023317	0.4375	0.021646	0.16496
ACIN1	6	-0.13637	-1.506	0.50139	0.89597	0.13207	0.35754	-0.15831	-1.7595	0.43203	0.91214	0.07849	0.29413
ACKR2	6	-0.020775	-0.24037	0.96701	0.99507	0.81004	0.90237	0.01727	0.20164	0.86753	0.97752	0.8402	0.91918
ACKR3	6	0.19972	1.5311	0.21802	0.81106	0.12575	0.34821	0.16119	1.2423	0.32097	0.86545	0.21413	0.46701
ACKR4	6	-0.076979	-0.63642	0.72777	0.96019	0.52451	0.7194	-0.070378	-0.58537	0.7488	0.97308	0.5583	0.75699
ACLY	6	-0.10478	-1.0566	0.61679	0.92574	0.29071	0.53125	-0.044124	-0.44962	0.85873	0.97687	0.65298	0.82436
ACMSD	6	-0.050849	-0.54072	0.83536	0.9796	0.5887	0.76643	0.0010537	0.011289	0.93945	0.98886	0.99099	0.9959
ACN9	6	-0.10877	-0.82239	0.60096	0.92226	0.41085	0.63162	-0.017136	-0.13086	0.97782	0.99527	0.89589	0.94915
ACO1	6	0.0097453	0.061095	0.89204	0.98569	0.95128	0.97623	-0.034357	-0.21709	0.90025	0.98296	0.82814	0.9125
ACO2	6	-0.28858	-1.8684	0.16003	0.76045	0.061704	0.25413	-0.39416	-2.5652	0.065024	0.59908	0.01031	0.11799
ACOT1	6	-0.28925	-1.6534	0.1593	0.75983	0.098244	0.31362	-0.32531	-1.8754	0.11663	0.69874	0.060731	0.26231
ACOT11	6	0.18287	1.5306	0.25585	0.81145	0.12587	0.34822	0.18337	1.5413	0.26498	0.84282	0.12325	0.36264
ACOT12	6	-0.14401	-1.1408	0.47798	0.89155	0.25396	0.49567	-0.094151	-0.75343	0.65426	0.96375	0.45119	0.67874
ACOT13	6	-0.044759	-0.28216	0.86142	0.98191	0.77782	0.88361	0.058562	0.37202	0.68889	0.97056	0.70988	0.84714
ACOT2	6	0.33627	1.9609	0.044946	0.52331	0.049886	0.22941	0.21213	1.2472	0.19995	0.79628	0.21234	0.46516
ACOT4	6	-0.041044	-0.37592	0.87775	0.98363	0.70698	0.8435	-0.083592	-0.77088	0.69496	0.97229	0.44078	0.6696
ACOT6	6	-0.016969	-0.14333	0.98535	0.99682	0.88603	0.94355	0.06015	0.5139	0.68236	0.9689	0.60732	0.79192
ACOT7	6	0.1512	2.1496	0.34442	0.846	0.031589	0.20281	0.16007	2.2878	0.32352	0.86545	0.02215	0.16698
ACOT8	6	-0.14891	-1.972	0.46315	0.88588	0.048608	0.22723	-0.086773	-1.1577	0.68186	0.96883	0.247	0.49902
ACOT9	6	0.046656	0.24905	0.73187	0.96083	0.80332	0.89779	0.0093716	0.050336	0.90198	0.98353	0.95985	0.98103
ACOX1	6	0.44506	3.1633	0.0096281	0.30914	0.0015599	0.052593	0.21223	1.5142	0.19986	0.79628	0.12998	0.37177
ACOX2	6	0.19683	1.8142	0.22455	0.81145	0.06965	0.26746	0.24807	2.3032	0.13457	0.71903	0.021269	0.16361
ACOX3	6	0.20472	1.3287	0.20803	0.8056	0.18395	0.4223	0.1782	1.1628	0.27716	0.84938	0.24491	0.49731
ACOXL	6	0.11369	1.308	0.46676	0.88716	0.19088	0.42934	0.14129	1.6373	0.38334	0.89086	0.10156	0.33095
ACP1	6	0.072078	0.7447	0.62574	0.92764	0.45645	0.67095	0.15158	1.5765	0.35122	0.87789	0.11491	0.35186
ACP2	6	0.089225	0.83441	0.55597	0.90878	0.40405	0.62644	0.047165	0.44363	0.73822	0.97308	0.65731	0.8274
ACP5	6	0.2265	1.6945	0.16655	0.76746	0.090176	0.30149	0.24934	1.8773	0.13274	0.71657	0.060471	0.262
ACP6	6	-0.0096668	-0.13611	0.98147	0.99682	0.89174	0.94655	0.10364	1.4735	0.51189	0.93799	0.14062	0.38528
ACPL2	6	-0.13554	-1.2374	0.50376	0.89618	0.21594	0.45765	-0.10776	-0.9943	0.60059	0.95419	0.32008	0.56677
ACPP	6	0.090573	0.92125	0.55104	0.90606	0.35692	0.58692	0.011135	0.11383	0.89277	0.98164	0.90937	0.95554
ACPT	6	0.11506	1.0176	0.46247	0.88588	0.30887	0.5472	0.18416	1.6426	0.26297	0.84072	0.10046	0.32979
ACR	6	-0.19683	-1.4678	0.32977	0.84128	0.14216	0.37093	-0.26414	-1.9837	0.19662	0.79375	0.047291	0.23326
ACRBP	6	0.16153	1.0137	0.31271	0.82856	0.31072	0.54871	0.19506	1.2314	0.23723	0.82455	0.21817	0.47073
ACRC	5	0.10934	1.237	0.5243	0.90104	0.21607	0.45771	0.18802	2.1426	0.29701	0.85564	0.032142	0.19743
ACRV1	6	-0.10923	-1.046	0.59868	0.922	0.29555	0.53511	-0.024222	-0.23354	0.94529	0.99007	0.81534	0.90484
ACSBG1	6	0.060794	0.53198	0.67465	0.94582	0.59474	0.77091	0.12443	1.0961	0.43619	0.91412	0.27305	0.52333
ACSBG2	6	-0.019654	-0.14856	0.97262	0.99594	0.8819	0.94162	-0.027407	-0.20842	0.93174	0.98786	0.8349	0.91621
ACSF2	6	0.10846	1.0356	0.48688	0.89298	0.30037	0.53947	0.074708	0.71692	0.62418	0.95837	0.47342	0.69515
ACSF3	6	6.9971e-05	0.00094674	0.93644	0.98987	0.99924	0.99956	-0.037318	-0.50737	0.88793	0.9804	0.61189	0.79516
ACSL1	6	0.28963	1.8605	0.080675	0.62703	0.062813	0.25618	0.30661	1.9812	0.068309	0.60944	0.047568	0.2341
ACSL3	6	0.20065	2.1422	0.21666	0.81106	0.032181	0.20448	0.098693	1.0581	0.52895	0.94029	0.29003	0.53961
ACSL4	6	-0.68726	-4.1931	0.0054757	0.25949	2.7516e-05	0.0057983	-0.53581	-3.3041	0.020032	0.4169	0.00095295	0.035721
ACSL5	6	0.059064	0.57877	0.68109	0.94691	0.56275	0.74761	0.019465	0.19163	0.85772	0.97687	0.84803	0.92286
ACSL6	6	0.10501	0.77979	0.49911	0.89522	0.43551	0.65434	0.16908	1.2655	0.29975	0.85679	0.2057	0.45741
ACSM1	6	-0.10793	-0.95015	0.60438	0.92319	0.34204	0.57555	-0.088396	-0.78484	0.67584	0.9683	0.43255	0.66307
ACSM2A	6	-0.12676	-0.77006	0.53393	0.90183	0.44126	0.65829	-0.11453	-0.70376	0.57919	0.95258	0.48158	0.70093
ACSM2B	6	-0.071937	-0.61406	0.74743	0.9642	0.53917	0.73001	-0.32217	-2.7449	0.11983	0.70197	0.0060534	0.092477
ACSM3	6	0.17501	1.7242	0.27584	0.81145	0.084681	0.2914	0.14287	1.4164	0.37869	0.89002	0.15665	0.40335
ACSM4	6	0.22558	1.9735	0.16788	0.76841	0.048441	0.22684	0.31963	2.8163	0.057997	0.58544	0.0048586	0.08299
ACSM5	6	0.041467	0.34681	0.75505	0.96582	0.72873	0.85679	-0.11112	-0.93204	0.58978	0.95264	0.35132	0.59547
ACSS1	6	0.079363	0.87335	0.59557	0.92128	0.38247	0.60814	0.16418	1.8199	0.31225	0.86342	0.068777	0.27758
